video,cp,eps,epistemic,g_alpha1,eps_continue,dg_planner,min_eps,p,n,ttc_start,ttc_true,distance
LC_dv14_Tlc4p0_TTC03_CP1_S5p067_E15p067.mp4,CP1,450020.6687483003,12.108346403634641,450008.56040189666,450020.6687483003,385330.2527559552,64690.41599234508,0.0,24,3.0,3.0,11.666666666666666
LC_dv14_Tlc4p0_TTC03_CP2_S5p367_E15p367.mp4,CP2,450343.4833007331,30.288004191534128,450313.19529654155,450343.4833007331,384971.1227259601,65372.36057477299,0.5,12,3.0,2.7,10.5
LC_dv14_Tlc4p0_TTC03_CP3_S5p667_E15p667.mp4,CP3,451170.06679057144,98.98312080895994,451071.0836697625,451170.0667905714,383827.6237623103,67342.44302826107,0.7916666666666666,12,3.0,2.4,9.333333333333332
LC_dv14_Tlc4p0_TTC03_CP4_S5p967_E15p967.mp4,CP4,450021.4680963469,28.203269978926983,449993.26482636796,450021.4680963469,381622.2359203898,68399.23217595706,0.875,12,3.0,2.1,8.166666666666666
LC_dv14_Tlc4p0_TTC03_CP5_S6p267_E16p267.mp4,CP5,450588.4534585699,121.73023192712571,450466.72322664276,450588.4534585699,383271.7287056503,67316.72475291957,0.9166666666666666,12,3.0,1.8,7.0
LC_dv14_Tlc4p0_TTC04_CP1_S5p067_E15p067.mp4,CP1,452780.9022903387,56.369665921723936,452724.532624417,452780.9022903387,389030.52214606537,63750.38014427334,0.0416666666666666,24,4.0,4.0,15.555555555555555
LC_dv14_Tlc4p0_TTC04_CP2_S5p367_E15p367.mp4,CP2,451380.86064078356,105.16920754895546,451275.6914332346,451380.8606407836,391406.79177030746,59974.068870476156,0.5416666666666666,12,4.0,3.7,14.38888888888889
LC_dv14_Tlc4p0_TTC04_CP3_S5p667_E15p667.mp4,CP3,450100.8181313738,68.93059087597067,450031.8875404978,450100.8181313738,384991.03474836354,65109.783383010246,0.6666666666666666,12,4.0,3.4,13.22222222222222
LC_dv14_Tlc4p0_TTC04_CP4_S5p967_E15p967.mp4,CP4,450020.6686292214,29.397237372410018,449991.271391849,450020.6686292214,387235.4770160855,62785.19161313586,0.6666666666666666,12,4.0,3.1,12.055555555555555
LC_dv14_Tlc4p0_TTC04_CP5_S6p267_E16p267.mp4,CP5,450020.6687483003,58.942713782947976,449961.72603451734,450020.6687483003,381622.442122656,68398.22662564431,0.6666666666666666,12,4.0,2.8,10.888888888888888
LC_dv14_Tlc4p0_TTC05_CP1_S5p033_E15p033.mp4,CP1,451372.8667505644,125.72494204045506,451247.141808524,451372.8667505644,391459.5013386031,59913.365411961335,0.0,12,5.0,5.0,19.444444444444443
LC_dv14_Tlc4p0_TTC05_CP2_S5p333_E15p333.mp4,CP2,450030.81581430737,101.56617146474309,449929.2496428426,450030.81581430737,387193.23950206814,62837.57631223922,0.2916666666666667,12,5.0,4.7,18.27777777777778
LC_dv14_Tlc4p0_TTC05_CP4_S5p933_E15p933.mp4,CP4,454998.70885995886,34.80628791276831,454963.9025720461,454998.70885995886,382314.1353296037,72684.57353035518,0.5833333333333334,12,5.0,4.1,15.944444444444445
LC_dv14_Tlc4p0_TTC07_CP1_S5p067_E15p067.mp4,CP1,450548.98141519,108.44525643059751,450440.5361587594,450548.98141519,385247.4438875523,65301.53752763767,0.0,12,7.0,7.0,27.22222222222222
LC_dv14_Tlc4p0_TTC07_CP3_S5p667_E15p667.mp4,CP3,456842.1607955256,122.87207337917062,456719.2887221464,456842.1607955256,389146.4036578441,67695.75713768147,0.375,12,7.0,6.4,24.88888888888889
LC_dv14_Tlc4p0_TTC07_CP5_S6p267_E16p267.mp4,CP5,450194.30941535626,86.60593396244803,450107.7034813938,450194.30941535626,381555.6522793102,68638.65713604604,0.375,12,7.0,5.8,22.55555555555556
LC_dv21_Tlc2p0_TTC02_CP1_S5p067_E15p067.mp4,CP1,450028.98221656866,35.36738116084598,449993.6148354078,450028.9822165687,385390.5756325915,64638.40658397722,0.0,21,2.0,2.0,11.666666666666666
LC_dv21_Tlc2p0_TTC02_CP2_S5p367_E15p367.mp4,CP2,450513.0196847216,27.73787379008718,450485.2818109315,450513.0196847216,383658.1831343415,66854.8365503801,0.9090909090909092,11,2.0,1.7,9.916666666666666
LC_dv21_Tlc2p0_TTC02_CP3_S5p667_E15p667.mp4,CP3,452743.1560375462,76.41178334469441,452666.74425420153,452743.1560375462,383136.394969447,69606.76106809924,0.85,10,2.0,1.4,8.166666666666666
